race,PRES16D,PRES16R,PRES16None
WVAP,0.1897 (0.1527-0.2264),0.1901 (0.1774-0.2013),0.6202 (0.5824-0.6584)
OVAP,0.2716 (0.2635-0.2801),0.0033 (0.0022-0.0048),0.725 (0.7166-0.7331)
