race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1584 (0.1306-0.1879),0.0322 (0.0174-0.0521),0.8094 (0.7773-0.8407)
OVAP,0.0358 (0.0315-0.0401),0.118 (0.1139-0.1215),0.8462 (0.8409-0.8516)
