race,SEN12D,SEN12R,SEN12None
WVAP,0.2902 (0.2434-0.3407),0.1168 (0.0981-0.1356),0.5931 (0.5457-0.6414)
BVAP,0.4302 (0.4162-0.4434),0.0024 (0.0015-0.0038),0.5674 (0.554-0.5813)
HVAP,0.0542 (0.0256-0.0906),0.015 (0.0086-0.0234),0.9308 (0.8932-0.9606)
OVAP,0.1468 (0.0164-0.2681),0.1138 (0.0812-0.1463),0.7394 (0.615-0.8645)
