race,SEN18D,SEN18R,SEN18None
WVAP,0.2839 (0.2377-0.329),0.0925 (0.0743-0.1115),0.6236 (0.5791-0.6702)
BVAP,0.3217 (0.3087-0.3348),0.0029 (0.0018-0.0043),0.6755 (0.6622-0.6884)
HVAP,0.0609 (0.0315-0.0977),0.0153 (0.0084-0.0244),0.9238 (0.8861-0.9547)
OVAP,0.1144 (0.0387-0.2121),0.1104 (0.0752-0.1427),0.7752 (0.6769-0.8628)
