race,PRES12D,PRES12R,PRES12None
WVAP,0.2408 (0.193-0.2903),0.2639 (0.2531-0.2742),0.4954 (0.4457-0.5443)
OVAP,0.4116 (0.4008-0.4226),0.0036 (0.0022-0.0052),0.5849 (0.5738-0.5957)
