race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0221 (0.0125-0.0332),0.0373 (0.0284-0.0476),0.0408 (0.0342-0.0471),0.8998 (0.8835-0.915)
OVAP,0.079 (0.0765-0.0814),0.0111 (0.0095-0.0125),0.0021 (0.0014-0.0029),0.9079 (0.905-0.9108)
