race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0674 (0.0521-0.0832),0.0086 (0.0047-0.0141),0.0299 (0.018-0.0418),0.8942 (0.8733-0.9145)
OVAP,0.0229 (0.0204-0.0255),0.0424 (0.0413-0.0433),0.0204 (0.0184-0.0226),0.9144 (0.9109-0.9177)
