race,PRES12D,PRES12R,PRES12None
WVAP,0.3236 (0.2763-0.3703),0.21 (0.1864-0.2309),0.4664 (0.417-0.5165)
BVAP,0.4945 (0.4804-0.509),0.0033 (0.002-0.005),0.5022 (0.4877-0.5165)
HVAP,0.0549 (0.0251-0.0977),0.0182 (0.0102-0.0293),0.9269 (0.883-0.9586)
OVAP,0.1971 (0.0861-0.3252),0.0799 (0.0465-0.1184),0.723 (0.592-0.8392)
