race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0343 (0.0247-0.0447),0.0108 (0.0089-0.0126),0.0201 (0.0158-0.0245),0.0137 (0.0114-0.0161),0.0449 (0.0336-0.0559),0.8762 (0.8601-0.8925)
OVAP,0.0482 (0.0459-0.0506),0.0006 (0.0004-0.0008),0.0024 (0.0018-0.003),0.0007 (0.0005-0.001),0.0606 (0.0581-0.0633),0.8875 (0.8839-0.8908)
