race,SEN16D,SEN16R,SEN16None
WVAP,0.1891 (0.1528-0.2262),0.1904 (0.1758-0.2039),0.6204 (0.5805-0.6578)
OVAP,0.2641 (0.2561-0.272),0.0042 (0.0028-0.0059),0.7318 (0.7238-0.7399)
