race,COMP14D,COMP14R,COMP14None
WVAP,0.1644 (0.1263-0.2053),0.1972 (0.1828-0.2104),0.6384 (0.5971-0.6792)
OVAP,0.2183 (0.2099-0.2267),0.0044 (0.003-0.0061),0.7773 (0.7687-0.7856)
