race,GOV18D,GOV18R,GOV18None
WVAP,0.1236 (0.0859-0.1629),0.2756 (0.2388-0.3139),0.6009 (0.5527-0.6478)
OVAP,0.2328 (0.2252-0.2408),0.0461 (0.0407-0.0516),0.7211 (0.7123-0.7294)
