race,GOV14D,GOV14R,GOV14None
WVAP,0.1649 (0.1286-0.2038),0.1724 (0.1471-0.1962),0.6627 (0.6181-0.7033)
BVAP,0.2635 (0.2517-0.2748),0.0041 (0.0026-0.006),0.7324 (0.7209-0.7442)
HVAP,0.0363 (0.018-0.0636),0.0188 (0.0103-0.0305),0.9448 (0.9144-0.9669)
OVAP,0.1134 (0.0296-0.2079),0.1048 (0.061-0.1527),0.7819 (0.6773-0.8747)
