race,PRES16D,PRES16R,PRES16None
WVAP,0.2203 (0.1774-0.265),0.1185 (0.0998-0.1393),0.6613 (0.6169-0.7045)
BVAP,0.3048 (0.2921-0.3183),0.0028 (0.0017-0.0042),0.6924 (0.6788-0.7051)
HVAP,0.1599 (0.1074-0.2166),0.0173 (0.0098-0.0272),0.8227 (0.7667-0.8752)
OVAP,0.1789 (0.0676-0.29),0.1225 (0.0847-0.1559),0.6986 (0.5822-0.8148)
