race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0693 (0.0497-0.09),0.0108 (0.0059-0.0181),0.9199 (0.8981-0.94)
OVAP,0.0448 (0.0415-0.0483),0.0356 (0.0346-0.0365),0.9196 (0.916-0.9231)
