race,COMP18D,COMP18R,COMP18None
WVAP,0.3007 (0.2509-0.3479),0.0921 (0.0716-0.1139),0.6072 (0.5589-0.6566)
BVAP,0.3158 (0.3025-0.3284),0.0038 (0.0024-0.0055),0.6804 (0.6677-0.6937)
HVAP,0.0525 (0.024-0.0938),0.0196 (0.0107-0.0327),0.9279 (0.8862-0.9582)
OVAP,0.1141 (0.0455-0.2011),0.1755 (0.1323-0.2186),0.7104 (0.6141-0.7903)
