race,AG18D,AG18R,AG18None
WVAP,0.2145 (0.1746-0.2547),0.1794 (0.1672-0.1908),0.6061 (0.5654-0.6461)
OVAP,0.2738 (0.265-0.2824),0.0038 (0.0026-0.0053),0.7224 (0.7134-0.7311)
