race,SEN18D,SEN18R,SEN18None
WVAP,0.2185 (0.1771-0.259),0.1575 (0.1473-0.1671),0.624 (0.5827-0.6668)
OVAP,0.2732 (0.2646-0.2826),0.0031 (0.002-0.0044),0.7237 (0.7145-0.7322)
