race,COMP14D,COMP14R,COMP14None
WVAP,0.2107 (0.1718-0.2535),0.1264 (0.104-0.1478),0.6628 (0.6193-0.7068)
BVAP,0.26 (0.2481-0.2717),0.0037 (0.0023-0.0055),0.7363 (0.7247-0.7483)
HVAP,0.0327 (0.0159-0.0581),0.0176 (0.0096-0.0286),0.9498 (0.921-0.9699)
OVAP,0.0837 (0.0301-0.1589),0.1306 (0.0918-0.1718),0.7857 (0.7024-0.8552)
