race,AG14D,AG14R,AG14None
WVAP,0.1491 (0.1137-0.1887),0.1818 (0.1722-0.1905),0.6691 (0.6302-0.7047)
OVAP,0.2187 (0.2103-0.2268),0.0032 (0.0021-0.0045),0.7781 (0.77-0.7863)
