race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0572 (0.0516-0.0624),0.0418 (0.0389-0.044),0.0279 (0.025-0.0309),0.8731 (0.8665-0.8799)
BVAP,0.0474 (0.0317-0.0652),0.0093 (0.0053-0.0146),0.0159 (0.0084-0.0262),0.9274 (0.9076-0.9457)
HVAP,0.0139 (0.0054-0.0251),0.0061 (0.0032-0.0102),0.0079 (0.0039-0.0143),0.9721 (0.9583-0.9834)
OVAP,0.011 (0.0046-0.022),0.008 (0.0039-0.0153),0.0069 (0.0036-0.0119),0.9741 (0.9599-0.9839)
