race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.2178 (0.2038-0.232),0.0194 (0.0128-0.0271),0.7628 (0.7469-0.7777)
OVAP,0.0278 (0.0162-0.0396),0.0531 (0.044-0.0617),0.9191 (0.9049-0.9332)
