race,AG18D,AG18R,AG18None
WVAP,0.325 (0.2995-0.3498),0.1436 (0.1364-0.1489),0.5315 (0.507-0.5571)
OVAP,0.1773 (0.151-0.205),0.0144 (0.0088-0.0223),0.8083 (0.7802-0.8346)
