race,COMP18D,COMP18R,COMP18None
WVAP,0.3334 (0.3113-0.3558),0.1356 (0.1291-0.1406),0.531 (0.5079-0.5537)
OVAP,0.1758 (0.1515-0.2009),0.0142 (0.0088-0.0213),0.8099 (0.7849-0.8348)
