race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0595 (0.0529-0.0656),0.045 (0.0429-0.0468),0.03 (0.0266-0.0328),0.8655 (0.859-0.8724)
OVAP,0.0225 (0.0165-0.0297),0.005 (0.003-0.0077),0.0089 (0.0055-0.0135),0.9635 (0.9552-0.9706)
