race,SEN18D,SEN18R,SEN18None
WVAP,0.327 (0.3038-0.3492),0.1224 (0.1153-0.1274),0.5506 (0.5275-0.5742)
OVAP,0.1737 (0.1498-0.1993),0.0136 (0.0081-0.0219),0.8127 (0.7863-0.8372)
