race,GOV14D,GOV14R,GOV14None
WVAP,0.2632 (0.2407-0.2864),0.1873 (0.1798-0.193),0.5495 (0.5262-0.5717)
OVAP,0.0815 (0.0587-0.1042),0.0151 (0.009-0.0237),0.9033 (0.881-0.9259)
