race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0959 (0.0892-0.1026),0.0016 (0.001-0.0025),0.9024 (0.8956-0.9093)
OVAP,0.0093 (0.0041-0.0148),0.0068 (0.0061-0.0075),0.9839 (0.9782-0.9892)
