race,AG14D,AG14R,AG14None
WVAP,0.2855 (0.2655-0.3041),0.1339 (0.1234-0.1429),0.5806 (0.5614-0.6)
BVAP,0.1383 (0.0885-0.1913),0.0247 (0.013-0.0412),0.837 (0.7856-0.8851)
HVAP,0.0418 (0.0191-0.0733),0.0123 (0.0056-0.0233),0.9459 (0.914-0.9711)
OVAP,0.0598 (0.0254-0.1102),0.0426 (0.0199-0.0703),0.8976 (0.8439-0.9362)
