race,COMP18D,COMP18R,COMP18None
WVAP,0.3378 (0.3135-0.3615),0.1162 (0.1011-0.1272),0.546 (0.5221-0.5709)
BVAP,0.2252 (0.1548-0.2954),0.0262 (0.0142-0.0426),0.7486 (0.6795-0.8179)
HVAP,0.0977 (0.0489-0.1543),0.0159 (0.0068-0.0294),0.8864 (0.8284-0.9356)
OVAP,0.1874 (0.1107-0.2732),0.0537 (0.026-0.0971),0.7589 (0.6727-0.8345)
