race,PRES12D,PRES12R,PRES12None
WVAP,0.4366 (0.4062-0.4648),0.2248 (0.215-0.2331),0.3386 (0.3127-0.3672)
OVAP,0.1748 (0.1441-0.2093),0.0253 (0.0156-0.0373),0.7998 (0.7674-0.8282)
