race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.106 (0.1012-0.11),0.0026 (0.0017-0.004),0.018 (0.0142-0.0222),0.8734 (0.8676-0.8793)
OVAP,0.0053 (0.0026-0.009),0.0154 (0.0139-0.0167),0.0179 (0.0138-0.0221),0.9613 (0.9559-0.9667)
