race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0897 (0.0837-0.0957),0.0013 (0.0009-0.002),0.9089 (0.9028-0.915)
BVAP,0.0194 (0.0077-0.0341),0.0146 (0.0109-0.0179),0.966 (0.9509-0.9786)
HVAP,0.0117 (0.0046-0.0216),0.0045 (0.0025-0.0076),0.9838 (0.9739-0.9912)
OVAP,0.0129 (0.0051-0.0267),0.0039 (0.0023-0.006),0.9832 (0.9694-0.9914)
