race,COMP14D,COMP14R,COMP14None
WVAP,0.2904 (0.2708-0.3093),0.1397 (0.1285-0.1489),0.5699 (0.55-0.59)
BVAP,0.1445 (0.0982-0.1961),0.0248 (0.0129-0.0421),0.8307 (0.7796-0.8768)
HVAP,0.0429 (0.0182-0.0778),0.0127 (0.0056-0.0244),0.9444 (0.9098-0.9719)
OVAP,0.0615 (0.0257-0.1118),0.0422 (0.0198-0.0751),0.8964 (0.8438-0.9396)
