race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0539 (0.0481-0.0594),0.0056 (0.005-0.0061),0.0149 (0.0132-0.0162),0.0241 (0.0224-0.0256),0.0599 (0.0559-0.0637),0.8415 (0.8346-0.8488)
OVAP,0.031 (0.0247-0.0378),0.0016 (0.001-0.0024),0.0028 (0.0017-0.0047),0.0037 (0.0022-0.0058),0.0088 (0.0052-0.0129),0.952 (0.9437-0.9595)
