race,AG14D,AG14R,AG14None
WVAP,0.2945 (0.273-0.3141),0.1486 (0.1426-0.1536),0.5568 (0.5369-0.5781)
OVAP,0.0749 (0.0559-0.0964),0.0139 (0.0084-0.021),0.9112 (0.8892-0.9305)
