race,SEN12D,SEN12R,SEN12None
WVAP,0.3755 (0.349-0.4007),0.17 (0.162-0.1761),0.4544 (0.4299-0.4803)
OVAP,0.1688 (0.1422-0.1989),0.0172 (0.0105-0.0265),0.814 (0.7851-0.8405)
