race,PRES16D,PRES16R,PRES16None
WVAP,0.2969 (0.2742-0.3203),0.1421 (0.132-0.1493),0.561 (0.5377-0.5841)
OVAP,0.1864 (0.1621-0.2112),0.0158 (0.0087-0.0258),0.7978 (0.7728-0.8228)
