race,COMP14D,COMP14R,COMP14None
WVAP,0.2969 (0.2748-0.3167),0.1543 (0.1477-0.1593),0.5488 (0.529-0.5707)
OVAP,0.0799 (0.0604-0.1026),0.0141 (0.0084-0.0221),0.9061 (0.8832-0.9256)
