race,SEN16D,SEN16R,SEN16None
WVAP,0.3 (0.2753-0.3245),0.159 (0.1504-0.1655),0.5411 (0.5167-0.5655)
OVAP,0.1819 (0.156-0.2091),0.0154 (0.0088-0.0246),0.8027 (0.7762-0.8281)
