race,GOV18D,GOV18R,GOV18None
WVAP,0.1881 (0.1665-0.2097),0.2817 (0.2697-0.291),0.5302 (0.5088-0.5524)
OVAP,0.1725 (0.1481-0.1964),0.0213 (0.012-0.0334),0.8062 (0.782-0.8295)
