race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.1008 (0.0955-0.1052),0.0023 (0.0015-0.0033),0.0168 (0.0136-0.0203),0.8801 (0.8743-0.8861)
BVAP,0.0136 (0.0059-0.024),0.0291 (0.0201-0.0378),0.023 (0.0123-0.0338),0.9344 (0.9181-0.9493)
HVAP,0.0074 (0.0033-0.0137),0.0119 (0.0047-0.021),0.0139 (0.0065-0.0238),0.9669 (0.9518-0.9793)
OVAP,0.0077 (0.0031-0.016),0.0097 (0.0044-0.0163),0.0214 (0.0115-0.0331),0.9612 (0.9466-0.9731)
