,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,835,264,1940,3490,1,0.44412607449856734,0.5558739255014327,2391,0.23925501432664756,0.07564469914040114,0.6851002865329513
75,Montgomery,2962,Montgomery Precinct 04-006,1536,796,237,1426,2962,1,0.5185685347738015,0.4814314652261985,1929,0.2687373396353815,0.0800135043889264,0.6512491559756921
76,Montgomery,1587,Montgomery Precinct 04-027,360,264,34,1227,1587,1,0.22684310018903592,0.7731568998109641,1289,0.166351606805293,0.02142407057340895,0.8122243226212981
77,Montgomery,1951,Montgomery Precinct 04-009,995,564,153,956,1951,1,0.5099948744233727,0.4900051255766274,1234,0.28908252178370064,0.07842132239876987,0.6324961558175295
78,Montgomery,3199,Montgomery Precinct 13-051,2034,1023,319,1165,3199,1,0.6358236949046577,0.36417630509534227,1857,0.31978743357299155,0.0997186620819006,0.5804939043451078
79,Montgomery,1806,Montgomery Precinct 04-034,1249,526,266,557,1806,1,0.6915836101882613,0.30841638981173863,1014,0.2912513842746401,0.14728682170542637,0.5614617940199336
80,Montgomery,2832,Montgomery Precinct 13-043,911,712,166,1921,2832,1,0.321680790960452,0.678319209039548,1954,0.2514124293785311,0.05861581920903955,0.6899717514124294
81,Montgomery,2301,Montgomery Precinct 13-045,911,581,173,1390,2301,1,0.3959148196436332,0.6040851803563668,1547,0.2524989135158627,0.07518470230334637,0.672316384180791
82,Montgomery,4265,Montgomery Precinct 13-036,1040,783,174,3225,4265,1,0.24384525205158264,0.7561547479484173,3308,0.1835873388042204,0.040797186400937865,0.7756154747948417
83,Montgomery,3162,Montgomery Precinct 13-037,1002,594,143,2160,3162,1,0.31688804554079697,0.683111954459203,2425,0.18785578747628084,0.04522454142947502,0.7669196710942442
84,Montgomery,3854,Montgomery Precinct 13-035,962,787,199,2892,3854,1,0.24961079398028022,0.7503892060197198,2868,0.20420342501297353,0.05163466528282304,0.7441619097042034
85,Montgomery,5497,Montgomery Precinct 13-064,833,972,96,4664,5497,1,0.15153720211024194,0.8484627978897581,4429,0.17682372203019828,0.017464071311624522,0.8057122066581772
86,Montgomery,2249,Montgomery Precinct 13-052,1568,666,255,681,2249,1,0.6971987550022232,0.3028012449977768,1328,0.2961316140506892,0.11338372610048911,0.5904846598488217
87,Montgomery,2706,Montgomery Precinct 08-003,2131,886,466,575,2706,1,0.7875092387287509,0.21249076127124908,1354,0.32742054693274203,0.172209903917221,0.500369549150037
88,Montgomery,2330,Montgomery Precinct 13-046,1386,598,304,944,2330,1,0.5948497854077254,0.4051502145922747,1428,0.25665236051502144,0.13047210300429185,0.6128755364806867
89,Montgomery,1337,Montgomery Precinct 08-004,1020,395,228,317,1337,1,0.762902019446522,0.23709798055347794,714,0.2954375467464473,0.1705310396409873,0.5340314136125655
90,Montgomery,2775,Montgomery Precinct 08-008,1990,849,420,785,2775,1,0.7171171171171171,0.2828828828828829,1506,0.30594594594594593,0.15135135135135136,0.5427027027027027
