race,PRES20D,PRES20R,PRES20None
AMINVAP,0.7186 (0.6132-0.8053),0.1936 (0.1114-0.2913),0.0879 (0.062-0.1242)
OVAP,0.3693 (0.3685-0.3701),0.3687 (0.3678-0.3695),0.262 (0.2614-0.2626)
