race,SEN12D,SEN12R,SEN12None
WVAP,0.1761 (0.1561-0.1961),0.2768 (0.2668-0.284),0.5471 (0.5254-0.5681)
OVAP,0.3041 (0.2214-0.3978),0.0332 (0.0077-0.0739),0.6626 (0.5685-0.7511)
