race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0271 (0.0236-0.0305),0.002 (0.0012-0.0029),0.0066 (0.0049-0.0085),0.0015 (0.0008-0.0023),0.0076 (0.0058-0.0097),0.9552 (0.9505-0.9599)
BVAP,0.0421 (0.0136-0.0779),0.0112 (0.0039-0.0218),0.0223 (0.0059-0.0431),0.0135 (0.005-0.0256),0.0237 (0.0073-0.0454),0.8872 (0.8404-0.9294)
HVAP,0.0443 (0.0154-0.086),0.0177 (0.006-0.0351),0.0298 (0.0108-0.0589),0.0236 (0.0084-0.0432),0.0344 (0.0098-0.0652),0.8501 (0.7942-0.9002)
OVAP,0.0725 (0.0257-0.1286),0.0202 (0.0047-0.0389),0.041 (0.016-0.0722),0.0222 (0.0078-0.0404),0.05 (0.0202-0.0858),0.7941 (0.72-0.8631)
