race,PRES12D,PRES12R,PRES12None
WVAP,0.2323 (0.2104-0.2568),0.3375 (0.3275-0.3449),0.4302 (0.4061-0.4528)
OVAP,0.3315 (0.2345-0.4231),0.0373 (0.0113-0.0757),0.6311 (0.5407-0.7246)
