race,SEN16D,SEN16R,SEN16None
WVAP,0.1876 (0.1674-0.2082),0.3087 (0.2982-0.3157),0.5037 (0.4814-0.5246)
OVAP,0.2855 (0.2034-0.3725),0.0364 (0.0115-0.0769),0.6781 (0.5891-0.7665)
