race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0263 (0.0232-0.0292),0.0036 (0.0022-0.0052),0.0182 (0.0155-0.0208),0.9519 (0.9476-0.9562)
BVAP,0.0253 (0.008-0.0514),0.0187 (0.0062-0.0363),0.0259 (0.0069-0.051),0.9301 (0.8931-0.961)
HVAP,0.0306 (0.0089-0.0662),0.035 (0.0123-0.0652),0.0327 (0.01-0.0669),0.9017 (0.8464-0.9494)
OVAP,0.0394 (0.0108-0.0778),0.0345 (0.0103-0.0671),0.0411 (0.0131-0.0851),0.885 (0.8211-0.9376)
