race,COMP18D,COMP18R,COMP18None
WVAP,0.231 (0.2138-0.2483),0.2104 (0.1999-0.2191),0.5586 (0.54-0.5762)
BVAP,0.186 (0.0737-0.3284),0.051 (0.0173-0.1085),0.763 (0.6145-0.8824)
HVAP,0.2096 (0.0893-0.3812),0.0593 (0.0151-0.1352),0.7311 (0.5369-0.8761)
OVAP,0.4325 (0.1883-0.6538),0.1129 (0.0264-0.2315),0.4545 (0.2272-0.7019)
