race,AG18D,AG18R,AG18None
WVAP,0.1885 (0.1707-0.2085),0.2566 (0.2459-0.2661),0.5549 (0.5343-0.5742)
BVAP,0.2209 (0.0687-0.4071),0.0488 (0.0158-0.1028),0.7303 (0.5441-0.8829)
HVAP,0.2255 (0.0786-0.4268),0.0688 (0.0214-0.1456),0.7057 (0.5016-0.8656)
OVAP,0.4118 (0.1226-0.6678),0.1083 (0.0316-0.2223),0.4799 (0.2282-0.7527)
