race,GOV18D,GOV18R,GOV18None
WVAP,0.0855 (0.0682-0.1037),0.3695 (0.3579-0.3779),0.545 (0.5264-0.5641)
OVAP,0.3039 (0.2225-0.3959),0.0428 (0.0122-0.0878),0.6533 (0.5596-0.7379)
