race,COMP14D,COMP14R,COMP14None
WVAP,0.1854 (0.1685-0.2013),0.2335 (0.2256-0.2392),0.5811 (0.5646-0.5993)
OVAP,0.1188 (0.0592-0.1902),0.0287 (0.0081-0.0607),0.8525 (0.7787-0.9158)
