race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0367 (0.0319-0.0413),0.0005 (0.0002-0.0009),0.9629 (0.9583-0.9676)
BVAP,0.0468 (0.0119-0.0916),0.0082 (0.0028-0.0163),0.945 (0.9004-0.9798)
HVAP,0.0514 (0.0179-0.1064),0.0149 (0.0057-0.0268),0.9337 (0.8789-0.9705)
OVAP,0.0753 (0.0205-0.1407),0.0179 (0.0064-0.0309),0.9068 (0.8397-0.9621)
