race,AG18D,AG18R,AG18None
WVAP,0.186 (0.1633-0.2104),0.2674 (0.2576-0.2744),0.5466 (0.5213-0.5708)
OVAP,0.2974 (0.2002-0.3954),0.036 (0.0103-0.0763),0.6666 (0.5589-0.768)
