race,COMP18D,COMP18R,COMP18None
WVAP,0.2316 (0.2074-0.2541),0.2209 (0.2111-0.2273),0.5476 (0.5249-0.5714)
OVAP,0.2735 (0.183-0.3782),0.0363 (0.0119-0.0797),0.6902 (0.5814-0.7836)
