race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0741 (0.0654-0.0824),0.0127 (0.007-0.0185),0.9133 (0.9037-0.9231)
OVAP,0.0566 (0.0237-0.095),0.0983 (0.0673-0.133),0.845 (0.7974-0.889)
