race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.02 (0.0165-0.0236),0.0138 (0.012-0.0156),0.0135 (0.0114-0.0154),0.9527 (0.9482-0.9571)
BVAP,0.0472 (0.0175-0.0844),0.0133 (0.004-0.0292),0.018 (0.0051-0.0369),0.9215 (0.8776-0.9556)
HVAP,0.0481 (0.0117-0.1034),0.0207 (0.0057-0.0453),0.0244 (0.0068-0.0523),0.9068 (0.8442-0.9534)
OVAP,0.0758 (0.0282-0.141),0.0241 (0.0073-0.0501),0.0236 (0.0058-0.0505),0.8765 (0.8054-0.9352)
