race,AG14D,AG14R,AG14None
WVAP,0.136 (0.123-0.1498),0.2325 (0.2245-0.2394),0.6316 (0.6161-0.6463)
BVAP,0.1184 (0.0345-0.2347),0.0379 (0.0109-0.0845),0.8437 (0.7234-0.9342)
HVAP,0.1293 (0.0419-0.2546),0.0522 (0.0167-0.1094),0.8185 (0.6872-0.915)
OVAP,0.3115 (0.1135-0.5092),0.0872 (0.0282-0.1774),0.6013 (0.4083-0.8034)
