race,GOV14D,GOV14R,GOV14None
WVAP,0.118 (0.1025-0.1341),0.2915 (0.2836-0.2973),0.5905 (0.5737-0.6075)
OVAP,0.1668 (0.1013-0.2366),0.0284 (0.0082-0.0596),0.8048 (0.7311-0.8716)
