race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0222 (0.0178-0.0268),0.0157 (0.0139-0.0172),0.0154 (0.0131-0.0173),0.9467 (0.9413-0.952)
OVAP,0.0478 (0.0264-0.0711),0.0101 (0.0032-0.0201),0.013 (0.0041-0.0256),0.929 (0.9012-0.955)
