race,AG14D,AG14R,AG14None
WVAP,0.1436 (0.127-0.1596),0.2412 (0.2334-0.2466),0.6152 (0.5983-0.6323)
OVAP,0.1531 (0.0905-0.2255),0.0258 (0.0062-0.0577),0.8211 (0.7465-0.8881)
