race,SEN18D,SEN18R,SEN18None
WVAP,0.1934 (0.1703-0.2188),0.2443 (0.236-0.2502),0.5623 (0.5371-0.5852)
OVAP,0.2939 (0.1937-0.393),0.0315 (0.0096-0.0647),0.6747 (0.5743-0.7774)
