race,COMP14D,COMP14R,COMP14None
WVAP,0.1765 (0.1616-0.1907),0.2239 (0.2144-0.2317),0.5996 (0.5843-0.6166)
BVAP,0.0906 (0.0284-0.1924),0.0404 (0.0116-0.0911),0.869 (0.7634-0.9433)
HVAP,0.1217 (0.0383-0.2437),0.0575 (0.019-0.1158),0.8208 (0.6931-0.9196)
OVAP,0.2531 (0.1102-0.4357),0.0988 (0.0331-0.2001),0.6481 (0.4508-0.8063)
